datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01 00:00:00,153.038,6.768,14481.68,631.8,0.0,35.0,0.0
2007-01-01 01:00:00,151.404,4.298,14465.79,626.6,0.0,0.0,0.0
2007-01-01 02:00:00,154.94,6.4,14592.01,632.4,0.0,20.0,0.0
2007-01-01 03:00:00,152.5,5.406,14595.94,624.0,0.0,16.0,0.0
2007-01-01 04:00:00,148.544,5.29,14547.37,606.6,0.0,0.0,0.0
2007-01-01 05:00:00,148.574,6.1,14540.92,609.0,0.0,35.0,0.0
2007-01-01 06:00:00,147.348,5.168,14473.31,606.2,0.0,0.0,0.0
2007-01-01 07:00:00,146.832,6.412,14418.85,607.2,0.0,33.0,0.0
2007-01-01 08:00:00,146.504,4.686,14468.59,602.8,0.0,3.0,0.0
2007-01-01 09:00:00,188.768,4.056,14386.73,783.1999999999999,0.0,0.0,722.0
2007-01-01 10:00:00,159.704,6.616,14305.51,666.2,0.0,35.0,149.0
2007-01-01 11:00:00,154.56,4.27,14239.47,647.6,0.0,0.0,0.0
2007-01-01 12:00:00,156.952,7.25,14265.48,656.2,0.0,34.0,0.0
2007-01-01 13:00:00,129.744,4.034,14320.17,542.2,0.0,0.0,0.0
2007-01-01 14:00:00,77.664,14.474,14439.4,336.6,0.0,14.0,543.0
2007-01-01 15:00:00,114.55,6.652,14334.91,475.8,0.0,21.0,1049.0
2007-01-01 16:00:00,83.406,6.638,14363.25,344.8,0.0,0.0,1053.0
2007-01-01 17:00:00,97.924,7.77,14248.58,410.0,0.0,35.0,1037.0
2007-01-01 18:00:00,87.714,4.152,14300.18,362.4,0.0,0.0,1044.0
2007-01-01 19:00:00,43.938,7.63,14265.48,185.2,0.0,28.0,283.0
2007-01-01 20:00:00,24.738,4.268,14269.61,103.0,0.0,7.0,0.0
2007-01-01 21:00:00,26.036,6.036,14365.39,109.8,0.0,0.0,0.0
2007-01-01 22:00:00,26.624,6.894,14467.46,114.4,0.0,36.0,0.0
2007-01-01 23:00:00,26.998,6.898000000000001,14629.65,116.4,0.0,0.0,0.0
2007-01-02 00:00:00,26.786,7.266,14535.33,117.8,0.0,35.0,0.0
2007-01-02 01:00:00,26.204,5.746,14596.28,112.60000000000001,0.0,0.0,0.0
2007-01-02 02:00:00,25.894,5.114,14745.26,109.60000000000001,0.0,0.0,0.0
2007-01-02 03:00:00,27.85,8.644,14744.22,121.4,0.0,35.0,0.0
2007-01-02 04:00:00,62.398,5.67,14616.74,257.2,0.0,0.0,599.0
2007-01-02 05:00:00,42.636,6.99,14546.38,181.6,0.0,34.0,267.0
2007-01-02 06:00:00,26.818,6.522,14635.53,114.0,0.0,0.0,0.0
2007-01-02 07:00:00,24.754,3.894,14453.27,104.8,0.0,2.0,0.0
2007-01-02 08:00:00,27.264,7.886,14396.89,116.6,0.0,32.0,0.0
2007-01-02 09:00:00,25.058,4.724,14388.46,103.8,0.0,0.0,0.0
2007-01-02 10:00:00,26.754,7.506,14326.51,113.4,0.0,35.0,0.0
2007-01-02 11:00:00,25.966,6.02,14522.99,108.6,0.0,0.0,0.0
2007-01-02 12:00:00,25.558,5.1,14520.37,107.8,0.0,4.0,0.0
2007-01-02 13:00:00,27.54,8.54,14548.19,118.8,0.0,30.0,0.0
2007-01-02 14:00:00,26.306,6.374,14783.02,111.4,0.0,0.0,0.0
2007-01-02 15:00:00,86.286,8.459999999999999,14577.44,354.2,0.0,38.0,953.0
2007-01-02 16:00:00,87.544,6.22,14585.72,359.4,0.0,0.0,946.0
2007-01-02 17:00:00,128.172,15.714,14290.66,547.2,0.0,4.0,505.0
2007-01-02 18:00:00,118.324,13.686,14255.07,501.8,0.0,30.0,1038.0
2007-01-02 19:00:00,91.098,6.202,14356.92,379.6,0.0,0.0,1053.0
2007-01-02 20:00:00,154.412,22.215999999999998,14309.67,651.4,0.0,35.0,1045.0
2007-01-02 21:00:00,79.286,11.048,14412.65,333.8,0.0,0.0,156.0
2007-01-02 22:00:00,31.694,7.3260000000000005,14577.35,136.4,0.0,27.0,0.0
2007-01-02 23:00:00,44.634,3.474,14674.119999999999,185.0,0.0,7.0,0.0
2007-01-03 00:00:00,67.526,3.394,14649.710000000001,278.6,0.0,0.0,0.0
2007-01-03 01:00:00,54.042,7.498,14636.55,224.8,0.0,34.0,0.0
2007-01-03 02:00:00,18.29,7.844,14803.33,83.2,0.0,0.0,0.0
2007-01-03 03:00:00,19.998,10.986,14800.18,94.8,0.0,34.0,0.0
2007-01-03 04:00:00,17.93,7.33,14763.31,79.2,0.0,1.0,0.0
2007-01-03 05:00:00,57.098,6.1080000000000005,14641.68,235.2,0.0,0.0,653.0
2007-01-03 06:00:00,20.06,10.342,14754.22,93.0,0.0,34.0,0.0
2007-01-03 07:00:00,18.102,6.506,14567.07,81.8,0.0,0.0,0.0
2007-01-03 08:00:00,19.176,8.57,14480.25,88.8,0.0,34.0,0.0
2007-01-03 09:00:00,36.15,7.544,14443.23,161.6,0.0,0.0,0.0
2007-01-03 10:00:00,52.454,7.84,14477.56,228.6,0.0,0.0,0.0
2007-01-03 11:00:00,58.583999999999996,11.246,14595.41,249.4,0.0,34.0,507.0
2007-01-03 12:00:00,83.866,7.364,14540.43,342.8,0.0,0.0,1079.0
2007-01-03 13:00:00,85.196,10.028,14577.49,348.4,0.0,34.0,1084.0
2007-01-03 14:00:00,65.422,9.468,14696.19,272.4,0.0,0.0,764.0
2007-01-03 15:00:00,18.12,8.21,14759.75,85.0,0.0,4.0,0.0
2007-01-03 16:00:00,22.06,13.956,14753.18,108.6,0.0,31.0,0.0
2007-01-03 17:00:00,17.108,6.01,14445.74,75.2,0.0,0.0,0.0
2007-01-03 18:00:00,21.672,12.768,14542.26,104.4,0.0,35.0,0.0
2007-01-03 19:00:00,17.34,6.292,14469.05,77.8,0.0,0.0,0.0
2007-01-03 20:00:00,19.576,9.514,14513.13,92.6,0.0,9.0,0.0
2007-01-03 21:00:00,66.926,6.354,14484.31,284.6,0.0,25.0,0.0
2007-01-03 22:00:00,57.242,3.4579999999999997,14622.0,237.0,0.0,0.0,160.0
2007-01-03 23:00:00,100.116,8.098,14706.18,412.4,0.0,35.0,518.0
2007-01-04 00:00:00,202.504,4.854,14384.039999999999,845.4,509.0,572.0,0.0
2007-01-04 01:00:00,173.804,7.2780000000000005,14300.78,726.2,542.0,20.0,0.0
2007-01-04 02:00:00,143.24,5.986,14521.44,589.2,0.0,16.0,0.0
2007-01-04 03:00:00,141.722,5.088,14460.12,583.8000000000001,0.0,0.0,0.0
2007-01-04 04:00:00,142.202,7.632000000000001,14397.67,588.6,0.0,36.0,0.0
2007-01-04 05:00:00,140.712,4.212,14435.16,580.6,0.0,0.0,0.0
2007-01-04 06:00:00,141.524,6.406000000000001,14396.38,584.0,0.0,24.0,0.0
2007-01-04 07:00:00,139.574,5.402,14323.98,579.8000000000001,0.0,12.0,0.0
2007-01-04 08:00:00,144.228,4.33,14277.83,602.4,0.0,0.0,0.0
2007-01-04 09:00:00,160.024,7.028,14264.72,673.4,0.0,36.0,998.0
2007-01-04 10:00:00,113.882,5.862,14404.67,475.8,0.0,0.0,1059.0
2007-01-04 11:00:00,120.38,9.556,14460.27,504.0,0.0,32.0,1068.0
2007-01-04 12:00:00,243.994,16.759999999999998,14288.86,1031.8,0.0,2403.0,1042.0
2007-01-04 13:00:00,212.704,13.856,14363.89,896.6,0.0,2100.0,1053.0
2007-01-04 14:00:00,120.792,9.0,14521.72,503.2,0.0,301.0,1076.0
2007-01-04 15:00:00,52.758,9.032,14598.32,224.8,0.0,40.0,456.0
2007-01-04 16:00:00,197.388,13.06,14399.64,826.8,0.0,1549.0,1058.0
2007-01-04 17:00:00,164.478,15.219999999999999,14259.95,697.0,0.0,248.0,1038.0
2007-01-04 18:00:00,156.33,7.724,14238.9,655.8,0.0,78.0,1035.0
2007-01-04 19:00:00,171.244,8.184,14195.13,723.0,0.0,10.0,1013.0
2007-01-04 20:00:00,89.912,12.116,14248.85,380.0,0.0,50.0,0.0
2007-01-04 21:00:00,28.728,5.224,14338.23,123.8,0.0,10.0,0.0
2007-01-04 22:00:00,25.18,10.684,14499.36,113.8,0.0,45.0,0.0
2007-01-04 23:00:00,32.108,7.808,14660.52,138.8,0.0,15.0,0.0
2007-01-05 00:00:00,118.082,8.626,14560.83,487.6,0.0,15.0,536.0
2007-01-05 01:00:00,143.21,7.224,14418.16,591.6,0.0,26.0,0.0
2007-01-05 02:00:00,143.684,5.82,14556.34,589.0,0.0,0.0,0.0
2007-01-05 03:00:00,144.942,8.46,14536.630000000001,598.0,0.0,38.0,0.0
2007-01-05 04:00:00,143.822,5.144,14593.67,588.4,0.0,0.0,0.0
2007-01-05 05:00:00,144.442,8.614,14506.2,595.4,0.0,36.0,0.0
2007-01-05 06:00:00,142.068,3.892,14514.92,583.6,0.0,0.0,0.0
2007-01-05 07:00:00,141.092,6.718,14373.85,585.8000000000001,0.0,13.0,0.0
2007-01-05 08:00:00,139.016,5.472,14314.67,578.6,0.0,24.0,0.0
2007-01-05 09:00:00,141.852,5.76,14293.67,593.0,0.0,0.0,42.0
2007-01-05 10:00:00,159.362,6.16,14258.32,670.2,0.0,37.0,573.0
